plot_nr,X,Y,ndvi
1,16.2853,66.04281,0.18777293
2,16.28535,66.04282,0.16883117
3,16.28535,66.04288,0.196347028
4,16.29731,66.03808,0.147679329
5,16.29727,66.03809,0.15384616
6,16.29735,66.03806,0.221719459
7,16.3516,66.03945,0.097087376
8,16.35173,66.0394,0.065502182
9,16.35181,66.03939,0.076233186
10,16.35627,66.03879,0.012345679
11,16.35617,66.03878,0.037974682
12,16.35615,66.03878,0.024390243
13,16.36178,66.05046,0.071129709
14,16.3618,66.05053,0.053941909
15,16.36179,66.05052,0.062240664
16,16.37376,66.04732,0.114285715
17,16.37383,66.04733,0.144278601
18,16.37396,66.04727,0.12888889
19,16.38609,66.04124,0.169491529
20,16.38625,66.04122,0.167420819
21,16.38617,66.04129,0.144032925
22,16.38663,66.03957,0.093117408
23,16.38679,66.03959,0.0625
24,16.38671,66.03962,0.08130081
25,16.39077,66.03951,0.138339922
26,16.39081,66.0396,0.163179919
27,16.39097,66.03958,0.18699187
28,16.28994,66.04079,0.257383972
29,16.29006,66.04075,0.184466019
30,16.29013,66.0408,0.212121218
31,16.29178,66.04031,0.164179102
32,16.29184,66.04029,0.186274514
33,16.29176,66.04033,0.151515156
34,16.43318,66.02717,0.121495329
35,16.43308,66.02716,0.116279073
36,16.43306,66.0272,0.085470088
37,16.42904,66.02716,0.107843138
38,16.42903,66.02709,0.132653058
39,16.42884,66.02709,0.107142858
40,16.42521,66.027,0.097674422
41,16.42515,66.02696,0.130044848
42,16.42538,66.02693,0.149758458
43,16.42582,66.02814,0.125541121
44,16.42589,66.02817,0.165137619
45,16.42595,66.0281,0.11965812
46,16.42308,66.02787,0.127272725
47,16.4232,66.02782,0.141552508
48,16.42303,66.02784,0.1402715
49,16.4174,66.01514,0.111111112
50,16.41745,66.01514,0.096000001
51,16.41759,66.01505,0.13934426
52,16.42409,66.0145,0.06666667
53,16.42411,66.01457,0.108108111
54,16.42418,66.01455,0.020746889
55,16.43045,66.01606,0.0625
56,16.43053,66.01607,0.040293042
57,16.43069,66.01604,0.011952192
58,16.49626,66.02398,0.078260869
59,16.49663,66.02395,0.008333334
60,16.49624,66.02398,0.069387756
61,16.59752,66.01006,-0.007462686
62,16.59761,66.00999,0.080168776
63,16.59745,66.01005,0.003802281
64,16.60091,66.01145,0.126760557
65,16.60092,66.01138,0.205240175
66,16.60096,66.01144,0.061538462
67,16.60522,66.01332,0.036734693
68,16.60542,66.01333,0
69,16.60544,66.01323,0.089285716
70,16.60934,66.0144,0.118644066
71,16.6095,66.01442,0.173076928
72,16.6094,66.01445,0.082251079
73,16.62071,66.01721,0.12328767
74,16.62136,66.01677,0.049327355
75,16.62127,66.01701,0.085972853
76,16.60705,66.01482,0.151219517
77,16.60712,66.01544,0.119266056
78,16.60701,66.0153,0.06329114
79,16.53233,66.01857,0.126050428
80,16.53243,66.01857,0.092369474
81,16.53239,66.01856,0.133603245
82,16.52919,66.0198,0.159183666
83,16.52915,66.01979,0.157894731
84,16.52917,66.01978,0.17355372
85,16.51896,66.0219,0.012048192
86,16.51885,66.02191,-0.020408163
87,16.51884,66.0219,-0.024390243
88,16.51506,66.02179,0.072072074
89,16.51492,66.02178,0.050691243
90,16.51498,66.02174,0.061946902
91,16.50903,66.02167,-0.024590164
92,16.50899,66.02156,0.028112451
93,16.5089,66.02158,0.044534411
94,16.49224,66.02891,0.086419754
95,16.49219,66.02896,0.097345136
96,16.49224,66.02895,0.094170406
97,16.48653,66.03112,0.109243698
98,16.4866,66.03111,0.131221727
99,16.48658,66.03112,0.105263159
100,16.46245,66.02863,0.065502182
101,16.46248,66.02864,0.062761508
102,16.46249,66.02867,0.056451611
