site_nr,plot_nr,date,site_cat,plot_rep,avg_height,sp_common,sp_latin,sp_comments,sp_group
1,1,8/8/22,4S,1,12.8,reindeer lichen ,Cladonia rangiferina,"could be other species, could be multiple",lichen
1,1,8/8/22,4S,1,12.8,cloudberry,Rubus chamaemorus,no berries though,herb
1,1,8/8/22,4S,1,12.8,dwarf birch,Betula nana,,shrub
1,1,8/8/22,4S,1,12.8,alpine kidney lichen,Nephroma expallidum,,lichen
1,1,8/8/22,4S,1,12.8,,Tritomaria quinquedentata,possible it's a Barbilophozia species instead,moss
1,1,8/8/22,4S,1,12.8,toy soldiers cup lichen,Cladonia bellidiflora,"see photo, no trumpets just shoots",lichen
1,1,8/8/22,4S,1,12.8,lingonberry,Vaccinium vitis-idaea,,shrub
1,1,8/8/22,4S,1,12.8,blueberry,Vaccinium myrtillus,,shrub
1,1,8/8/22,4S,1,12.8,crowberry,Empetrum nigrum ssp. hermaphroditum,,shrub
1,1,8/8/22,4S,1,12.8,Bigelow's sedge,Carex bigelowii,triangular stem,grass
1,1,8/8/22,4S,1,12.8,broom forkmoss,Dicranum scoparium,kvastmossa ,moss
1,1,8/8/22,4S,1,12.8,wavy hair-grass,Deschampsia flexuosa,,grass
1,1,8/8/22,4S,1,12.8,red-stemmed feathermoss,Pleurozium schreberi,"common sp. for this group, väggmossa",moss
1,1,8/8/22,4S,1,12.8,alpine bearberry,Arctostaphylos alpina,ripbär,shrub
1,2,8/8/22,4S,2,11.6,stiff clubmoss,Lycopodium annotinum,nordlummer ,herb
1,2,8/8/22,4S,2,11.6,dwarf birch,Betula nana,,shrub
1,2,8/8/22,4S,2,11.6,lingonberry,Vaccinium vitis-idaea,,shrub
1,2,8/8/22,4S,2,11.6,Bigelow's sedge,Carex bigelowii,vanlig styvstarr,grass
1,2,8/8/22,4S,2,11.6,blueberry,Vaccinium myrtillus,,shrub
1,2,8/8/22,4S,2,11.6,wavy hair-grass,Deschampsia flexuosa,kruståtel,grass
1,2,8/8/22,4S,2,11.6,crowberry,Empetrum nigrum ssp. hermaphroditum,nordkråkbär,shrub
1,2,8/8/22,4S,2,11.6,reindeer lichen ,Cladonia rangiferina,,lichen
1,2,8/8/22,4S,2,11.6,broom forkmoss,Dicranum scoparium ,kvastmossa,moss
