plot_nr,X,Y,slope_deg
1,16.2853,66.04281,20.6712799
2,16.28535,66.04282,20.6712799
3,16.28535,66.04288,20.6712799
4,16.29731,66.03808,12.8645372
5,16.29727,66.03809,12.8645372
6,16.29735,66.03806,12.8645372
7,16.3516,66.03945,5.8568511
8,16.35173,66.0394,6.0233979
9,16.35181,66.03939,6.0233979
10,16.35627,66.03879,6.1277933
11,16.35617,66.03878,6.1277933
12,16.35615,66.03878,6.1277933
13,16.36178,66.05046,1.2775773
14,16.3618,66.05053,1.2775773
15,16.36179,66.05052,1.2775773
16,16.37376,66.04732,1.605112
17,16.37383,66.04733,1.605112
18,16.37396,66.04727,1.605112
19,16.38609,66.04124,3.1842291
20,16.38625,66.04122,2.6709712
21,16.38617,66.04129,3.1842291
22,16.38663,66.03957,2.1196806
23,16.38679,66.03959,2.1196806
24,16.38671,66.03962,2.1196806
25,16.39077,66.03951,3.7867138
26,16.39081,66.0396,3.7867138
27,16.39097,66.03958,3.7867138
28,16.28994,66.04079,17.120615
29,16.29006,66.04075,15.9629555
30,16.29013,66.0408,15.9629555
31,16.29178,66.04031,15.5035019
32,16.29184,66.04029,15.5035019
33,16.29176,66.04033,15.5035019
34,16.43318,66.02717,6.864367
35,16.43308,66.02716,6.864367
36,16.43306,66.0272,6.864367
37,16.42904,66.02716,6.9489837
38,16.42903,66.02709,6.9489837
39,16.42884,66.02709,6.9489837
40,16.42521,66.027,6.3886371
41,16.42515,66.02696,6.5168481
42,16.42538,66.02693,6.5168481
43,16.42582,66.02814,5.2270217
44,16.42589,66.02817,5.2270217
45,16.42595,66.0281,5.2270217
46,16.42308,66.02787,4.8974423
47,16.4232,66.02782,4.8974423
48,16.42303,66.02784,4.8974423
49,16.4174,66.01514,5.6209931
50,16.41745,66.01514,5.6209931
51,16.41759,66.01505,5.6209931
52,16.42409,66.0145,6.2337446
53,16.42411,66.01457,6.2337446
54,16.42418,66.01455,6.2337446
55,16.43045,66.01606,10.5199804
56,16.43053,66.01607,10.5199804
57,16.43069,66.01604,10.5199804
58,16.49626,66.02398,1.470696
59,16.49663,66.02395,2.0631168
60,16.49624,66.02398,1.470696
61,16.59752,66.01006,6.6974521
62,16.59761,66.00999,6.1033583
63,16.59745,66.01005,6.6974521
64,16.60091,66.01145,4.7942901
65,16.60092,66.01138,4.7942901
66,16.60096,66.01144,4.7942901
67,16.60522,66.01332,6.7362714
68,16.60542,66.01333,6.7362714
69,16.60544,66.01323,6.7362714
70,16.60934,66.0144,8.0619535
71,16.6095,66.01442,8.9380989
72,16.6094,66.01445,8.0619535
73,16.62071,66.01721,7.245584
74,16.62136,66.01677,8.7122269
75,16.62127,66.01701,7.245584
76,16.60705,66.01482,6.8281469
77,16.60712,66.01544,8.1949759
78,16.60701,66.0153,7.3876967
79,16.53233,66.01857,2.6336019
80,16.53243,66.01857,2.6336019
81,16.53239,66.01856,2.6336019
82,16.52919,66.0198,3.5095029
83,16.52915,66.01979,3.5095029
84,16.52917,66.01978,3.5095029
85,16.51896,66.0219,5.5109
86,16.51885,66.02191,5.5109
87,16.51884,66.0219,5.5109
88,16.51506,66.02179,5.1291738
89,16.51492,66.02178,5.1291738
90,16.51498,66.02174,5.1291738
91,16.50903,66.02167,3.7822769
92,16.50899,66.02156,3.7822769
93,16.5089,66.02158,3.7822769
94,16.49224,66.02891,1.364336
95,16.49219,66.02896,1.364336
96,16.49224,66.02895,1.364336
97,16.48653,66.03112,3.8982363
98,16.4866,66.03111,3.8982363
99,16.48658,66.03112,3.8982363
100,16.46245,66.02863,3.068028
101,16.46248,66.02864,3.068028
102,16.46249,66.02867,3.068028
