plot_nr,X,Y,soil_depth
1,16.2853,66.04281,0
2,16.28535,66.04282,0
3,16.28535,66.04288,0
4,16.29731,66.03808,5
5,16.29727,66.03809,5
6,16.29735,66.03806,5
7,16.3516,66.03945,4
8,16.35173,66.0394,4
9,16.35181,66.03939,4
10,16.35627,66.03879,4
11,16.35617,66.03878,4
12,16.35615,66.03878,4
13,16.36178,66.05046,4
14,16.3618,66.05053,4
15,16.36179,66.05052,4
16,16.37376,66.04732,4
17,16.37383,66.04733,4
18,16.37396,66.04727,4
19,16.38609,66.04124,4
20,16.38625,66.04122,4
21,16.38617,66.04129,4
22,16.38663,66.03957,4
23,16.38679,66.03959,4
24,16.38671,66.03962,4
25,16.39077,66.03951,4
26,16.39081,66.0396,4
27,16.39097,66.03958,4
28,16.28994,66.04079,0
29,16.29006,66.04075,0
30,16.29013,66.0408,0
31,16.29178,66.04031,0
32,16.29184,66.04029,0
33,16.29176,66.04033,0
34,16.43318,66.02717,4
35,16.43308,66.02716,4
36,16.43306,66.0272,4
37,16.42904,66.02716,4
38,16.42903,66.02709,4
39,16.42884,66.02709,4
40,16.42521,66.027,5
41,16.42515,66.02696,5
42,16.42538,66.02693,5
43,16.42582,66.02814,4
44,16.42589,66.02817,4
45,16.42595,66.0281,4
46,16.42308,66.02787,4
47,16.4232,66.02782,4
48,16.42303,66.02784,4
49,16.4174,66.01514,4
50,16.41745,66.01514,4
51,16.41759,66.01505,4
52,16.42409,66.0145,4
53,16.42411,66.01457,4
54,16.42418,66.01455,4
55,16.43045,66.01606,4
56,16.43053,66.01607,4
57,16.43069,66.01604,4
58,16.49626,66.02398,4
59,16.49663,66.02395,4
60,16.49624,66.02398,4
61,16.59752,66.01006,0
62,16.59761,66.00999,0
63,16.59745,66.01005,6
64,16.60091,66.01145,0
65,16.60092,66.01138,0
66,16.60096,66.01144,0
67,16.60522,66.01332,0
68,16.60542,66.01333,0
69,16.60544,66.01323,0
70,16.60934,66.0144,0
71,16.6095,66.01442,0
72,16.6094,66.01445,0
73,16.62071,66.01721,0
74,16.62136,66.01677,0
75,16.62127,66.01701,0
76,16.60705,66.01482,0
77,16.60712,66.01544,6
78,16.60701,66.0153,6
79,16.53233,66.01857,4
80,16.53243,66.01857,4
81,16.53239,66.01856,4
82,16.52919,66.0198,4
83,16.52915,66.01979,4
84,16.52917,66.01978,4
85,16.51896,66.0219,4
86,16.51885,66.02191,4
87,16.51884,66.0219,4
88,16.51506,66.02179,4
89,16.51492,66.02178,4
90,16.51498,66.02174,4
91,16.50903,66.02167,4
92,16.50899,66.02156,4
93,16.5089,66.02158,4
94,16.49224,66.02891,4
95,16.49219,66.02896,4
96,16.49224,66.02895,4
97,16.48653,66.03112,4
98,16.4866,66.03111,4
99,16.48658,66.03112,4
100,16.46245,66.02863,4
101,16.46248,66.02864,4
102,16.46249,66.02867,4
