"","sp_latin","sp_group"
"1","Ajuga pyramidalis","herb"
"2","Alchemilla alpina","herb"
"3","Antennaria alpina","herb"
"4","Anthoxanthum nipponicum","grass"
"5","Arctostaphylos alpina","shrub"
"6","Arctostaphylos uva-ursi","shrub"
"7","Barbilophozia kunzeana","moss"
"8","Bartsia alpina","herb"
"9","Betula nana","shrub"
"10","Bistorta vivipara","herb"
"11","Bryum pseudotriquetrum","moss"
"12","Carex bigelowii","grass"
"13","Carex nigra ssp. juncella","grass"
"14","Carex saxatilis","grass"
"15","Carex vaginata","grass"
"16","Cladonia bellidiflora","lichen"
"17","Cladonia coccifera","lichen"
"18","Cladonia deformis","lichen"
"19","Cladonia digitata","lichen"
"20","Cladonia pyxidata","lichen"
"21","Cladonia rangiferina","lichen"
"22","Deschampsia cespitosa","grass"
"23","Deschampsia flexuosa","grass"
"24","Dicranum scoparium","moss"
"25","Empetrum nigrum ssp. hermaphroditum","shrub"
"26","Equisetum arvense ssp. alpestre","herb"
"27","Euphrasia stricta var. tenuis","herb"
"28","Euphrasia wettsteinii","herb"
"29","Festuca ovina","grass"
"30","Festuca vivipara ssp. vivipara","grass"
"31","Flavocetraria nivalis","lichen"
"32","Gnaphalium norvegicum","herb"
"33","Gnaphalium supinum","herb"
"34","Harrimanella hypnoides","shrub"
"35","Huperzia selago ssp. arctica","herb"
"36","Hypnum recurvatum","lichen"
"37","Icmadophila ericetorum","lichen"
"38","Juncus alpinoarticulatus ssp. alpestris","grass"
"39","Juncus trifidus","grass"
"40","Juniperus communis ssp. nana","shrub"
"41","Kalmia procumbens","shrub"
"42","Lobaria linita","lichen"
"43","Lycopodium alpinum","herb"
"44","Lycopodium annotinum","herb"
"45","Lycopodium clavatum ssp. monostachyon","herb"
"46","Lysimachia europaea","herb"
"47","Molinia caerulea","grass"
"48","Nardus stricta","grass"
"49","Nephroma arcticum","lichen"
"50","Nephroma bellum","lichen"
"51","Nephroma expallidum","lichen"
"52","Ochrolechia frigida","lichen"
"53","Parnassia palutris","herb"
"54","Pedicularis flamea","herb"
"55","Pedicularis lapponica","herb"
"56","Peltigera aphthosa","lichen"
"57","Phyllodoce caerulea","shrub"
"58","Pilosella sp.","herb"
"59","Pleurozium schreberi","moss"
"60","Polytrichum commune","moss"
"61","Polytrichum hyperboreum","moss"
"62","Psoroma hyphorum","lichen"
"63","Ptilidium ciliare","moss"
"64","Ranunculus recurvatus?","herb"
"65","Ranunculus subborealis ssp. pumilus","herb"
"66","Rubus chamaemorus","herb"
"67","Rumex acetosa","herb"
"68","Salix arbuscula","shrub"
"69","Salix herbacea","shrub"
"70","Sibbaldia procumbens","herb"
"71","Solidago virgaurea ssp. lapponica","herb"
"72","Solorina crocea","lichen"
"73","Stereocaulon alpinum","lichen"
"74","Stereocaulon sp.","lichen"
"75","Tofieldia pusilla","herb"
"76","Tritomaria quinquedentata","moss"
"77","unknown","herb"
"78","unknown","grass"
"79","Vaccinium myrtillus","shrub"
"80","Vaccinium uliginosum","shrub"
"81","Vaccinium vitis-idaea","shrub"
"82","Viola biflora","herb"
